nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient
        64, 2.400000000E-01, 4.032188818E-02, 1.588820517E-01
        65, 2.400000000E-01, 4.103631352E-02, 1.505131125E-01
        66, 2.400000000E-01, 4.175827703E-02, 1.424483955E-01
        67, 2.400000000E-01, 4.248785823E-02, 1.346810460E-01
        68, 2.400000000E-01, 4.322513750E-02, 1.271944195E-01
        69, 2.400000000E-01, 4.397019606E-02, 1.199862584E-01
        70, 2.400000000E-01, 4.472311601E-02, 1.130554974E-01
        71, 2.400000000E-01, 4.548398028E-02, 1.063996702E-01
        72, 2.400000000E-01, 4.625287269E-02, 1.000187397E-01
        73, 2.400000000E-01, 4.702987797E-02, 9.391182661E-02
        74, 2.400000000E-01, 4.781508171E-02, 8.807636052E-02
        75, 2.400000000E-01, 4.860857041E-02, 8.250842243E-02
        76, 2.400000000E-01, 4.941043149E-02, 7.720316201E-02
        77, 2.400000000E-01, 5.022075329E-02, 7.215522975E-02
        78, 2.400000000E-01, 5.103962508E-02, 6.735877693E-02
        79, 2.400000000E-01, 5.186713709E-02, 6.280714273E-02
        80, 2.400000000E-01, 5.270338046E-02, 5.849287286E-02
        81, 2.400000000E-01, 5.354844734E-02, 5.440787598E-02
        82, 2.400000000E-01, 5.440243082E-02, 5.054356903E-02
        83, 2.400000000E-01, 5.526542498E-02, 4.689139128E-02
        84, 2.400000000E-01, 5.613752491E-02, 4.344430938E-02
        85, 2.400000000E-01, 5.701882666E-02, 4.019872099E-02
        86, 2.400000000E-01, 5.790942735E-02, 3.715495020E-02
        87, 2.400000000E-01, 5.880942508E-02, 3.431544080E-02
        88, 2.400000000E-01, 5.971891901E-02, 3.168082610E-02
        89, 2.400000000E-01, 6.063800933E-02, 2.924670093E-02
        90, 2.400000000E-01, 6.156679730E-02, 2.700393461E-02
        91, 2.400000000E-01, 6.250538524E-02, 2.494188957E-02
        92, 2.400000000E-01, 6.345387655E-02, 2.304971404E-02
        93, 2.400000000E-01, 6.441237574E-02, 2.131559886E-02
        94, 2.400000000E-01, 6.538098839E-02, 1.972755976E-02
        95, 2.400000000E-01, 6.635982122E-02, 1.827418618E-02
        96, 2.400000000E-01, 6.734898206E-02, 1.694478840E-02
        97, 2.400000000E-01, 6.834857989E-02, 1.572928391E-02
        98, 2.400000000E-01, 6.935872483E-02, 1.461805217E-02
        99, 2.400000000E-01, 7.037952817E-02, 1.360189542E-02
       100, 2.400000000E-01, 7.141110237E-02, 1.267223246E-02
       101, 2.400000000E-01, 7.245356108E-02, 1.182070468E-02
       102, 2.400000000E-01, 7.350701914E-02, 1.103898603E-02
       103, 2.400000000E-01, 7.457159261E-02, 1.031926274E-02
       104, 2.400000000E-01, 7.564739877E-02, 9.654176421E-03
       105, 2.400000000E-01, 7.673455614E-02, 9.036517702E-03
       106, 2.400000000E-01, 7.783318450E-02, 8.459348232E-03
       107, 2.400000000E-01, 7.894340488E-02, 7.916345261E-03
       108, 2.400000000E-01, 8.006533959E-02, 7.401928771E-03
       109, 2.400000000E-01, 8.119911223E-02, 6.911703385E-03
       110, 2.400000000E-01, 8.234484771E-02, 6.443134509E-03
       111, 2.400000000E-01, 8.350267225E-02, 5.996787455E-03
