nodenumber,    x-coordinate,    y-coordinate,      wall-shear
       173, 2.400000000E-01, 2.014024277E-01, 5.004546791E-02
       174, 2.400000000E-01, 2.040503953E-01, 4.881048575E-02
       175, 2.400000000E-01, 2.066983629E-01, 4.762164876E-02
       176, 2.400000000E-01, 2.093463305E-01, 4.647710547E-02
       177, 2.400000000E-01, 2.119942982E-01, 4.537247121E-02
       178, 2.400000000E-01, 2.146422658E-01, 4.430129752E-02
       179, 2.400000000E-01, 2.172902334E-01, 4.326687008E-02
       180, 2.400000000E-01, 2.199382011E-01, 4.226879030E-02
       181, 2.400000000E-01, 2.225861687E-01, 4.130475223E-02
       182, 2.400000000E-01, 2.252341363E-01, 4.036404938E-02
       183, 2.400000000E-01, 2.278821040E-01, 3.945284337E-02
       184, 2.400000000E-01, 2.305300716E-01, 3.857512772E-02
       185, 2.400000000E-01, 2.331780392E-01, 3.772586957E-02
       186, 2.400000000E-01, 2.358260069E-01, 3.689777851E-02
       187, 2.400000000E-01, 2.384739745E-01, 3.608322144E-02
       188, 2.400000000E-01, 2.411219421E-01, 3.528876975E-02
       189, 2.400000000E-01, 2.437699098E-01, 3.452316672E-02
       190, 2.400000000E-01, 2.464178774E-01, 3.378811106E-02
       191, 2.400000000E-01, 2.490658450E-01, 3.306835517E-02
       192, 2.400000000E-01, 2.517138126E-01, 3.235331550E-02
       193, 2.400000000E-01, 2.543617803E-01, 3.166387975E-02
       194, 2.400000000E-01, 2.570097479E-01, 3.101662360E-02
       195, 2.400000000E-01, 2.596577155E-01, 3.038109839E-02
       196, 2.400000000E-01, 2.623056832E-01, 2.975079790E-02
       197, 2.400000000E-01, 2.649536508E-01, 2.913995646E-02
       198, 2.400000000E-01, 2.676016184E-01, 2.855278179E-02
       199, 2.400000000E-01, 2.702495861E-01, 2.798318490E-02
       200, 2.400000000E-01, 2.728975537E-01, 2.742324397E-02
       201, 2.400000000E-01, 2.755455213E-01, 2.687678114E-02
       202, 2.400000000E-01, 2.781934890E-01, 2.634092048E-02
       203, 2.400000000E-01, 2.808414566E-01, 2.582288533E-02
       204, 2.400000000E-01, 2.834894242E-01, 2.532300726E-02
       205, 2.400000000E-01, 2.861373919E-01, 2.483797632E-02
       206, 2.400000000E-01, 2.887853595E-01, 2.435898781E-02
       207, 2.400000000E-01, 2.914333271E-01, 2.389602549E-02
       208, 2.400000000E-01, 2.940812947E-01, 2.345638536E-02
       209, 2.400000000E-01, 2.967292624E-01, 2.303194813E-02
       210, 2.400000000E-01, 2.993772300E-01, 2.261048369E-02
       211, 2.400000000E-01, 3.020251976E-01, 2.219533175E-02
       212, 2.400000000E-01, 3.046731653E-01, 2.179845795E-02
       213, 2.400000000E-01, 3.073211329E-01, 2.141362056E-02
       214, 2.400000000E-01, 3.099691005E-01, 2.103343606E-02
       215, 2.400000000E-01, 3.126170682E-01, 2.065637521E-02
       216, 2.400000000E-01, 3.152650358E-01, 2.028618567E-02
       217, 2.400000000E-01, 3.179130034E-01, 1.992939971E-02
       218, 2.400000000E-01, 3.205609711E-01, 1.961212419E-02
       219, 2.400000000E-01, 3.232089387E-01, 1.930628717E-02
       220, 2.400000000E-01, 3.258569063E-01, 1.897106692E-02
       221, 2.400000000E-01, 3.285048740E-01, 1.862186752E-02
       222, 2.400000000E-01, 3.311528416E-01, 1.830602065E-02
