nodenumber,    x-coordinate,    y-coordinate,      wall-shear
        85, 2.400000000E-01, 5.701882666E-02, 4.541195631E-01
        86, 2.400000000E-01, 5.790942735E-02, 4.456225932E-01
        87, 2.400000000E-01, 5.880942508E-02, 4.372989237E-01
        88, 2.400000000E-01, 5.971891901E-02, 4.291553199E-01
        89, 2.400000000E-01, 6.063800933E-02, 4.211547673E-01
        90, 2.400000000E-01, 6.156679730E-02, 4.132627249E-01
        91, 2.400000000E-01, 6.250538524E-02, 4.054700434E-01
        92, 2.400000000E-01, 6.345387655E-02, 3.977832496E-01
        93, 2.400000000E-01, 6.441237574E-02, 3.902124166E-01
        94, 2.400000000E-01, 6.538098839E-02, 3.827661872E-01
        95, 2.400000000E-01, 6.635982122E-02, 3.754507601E-01
        96, 2.400000000E-01, 6.734898206E-02, 3.682709038E-01
        97, 2.400000000E-01, 6.834857989E-02, 3.612304628E-01
        98, 2.400000000E-01, 6.935872483E-02, 3.543310165E-01
        99, 2.400000000E-01, 7.037952817E-02, 3.475723267E-01
       100, 2.400000000E-01, 7.141110237E-02, 3.409528434E-01
       101, 2.400000000E-01, 7.245356108E-02, 3.344703019E-01
       102, 2.400000000E-01, 7.350701914E-02, 3.281212747E-01
       103, 2.400000000E-01, 7.457159261E-02, 3.219006658E-01
       104, 2.400000000E-01, 7.564739877E-02, 3.158024549E-01
       105, 2.400000000E-01, 7.673455614E-02, 3.098210394E-01
       106, 2.400000000E-01, 7.783318450E-02, 3.039512932E-01
       107, 2.400000000E-01, 7.894340488E-02, 2.981882691E-01
       108, 2.400000000E-01, 8.006533959E-02, 2.925273776E-01
       109, 2.400000000E-01, 8.119911223E-02, 2.869644463E-01
       110, 2.400000000E-01, 8.234484771E-02, 2.814956605E-01
       111, 2.400000000E-01, 8.350267225E-02, 2.761177719E-01
       112, 2.400000000E-01, 8.467271341E-02, 2.708278596E-01
       113, 2.400000000E-01, 8.585510009E-02, 2.656233311E-01
       114, 2.400000000E-01, 8.704996255E-02, 2.605010569E-01
       115, 2.400000000E-01, 8.825743244E-02, 2.554569244E-01
       116, 2.400000000E-01, 8.947764276E-02, 2.504874766E-01
       117, 2.400000000E-01, 9.071072796E-02, 2.455909997E-01
       118, 2.400000000E-01, 9.195682388E-02, 2.407669723E-01
       119, 2.400000000E-01, 9.321606780E-02, 2.360143811E-01
       120, 2.400000000E-01, 9.448859845E-02, 2.313324064E-01
       121, 2.400000000E-01, 9.577455603E-02, 2.267201841E-01
       122, 2.400000000E-01, 9.707408220E-02, 2.221753597E-01
       123, 2.400000000E-01, 9.838732013E-02, 2.176956832E-01
       124, 2.400000000E-01, 9.971441451E-02, 2.132803649E-01
       125, 2.400000000E-01, 1.010555115E-01, 2.089287788E-01
       126, 2.400000000E-01, 1.024107589E-01, 2.046397924E-01
       127, 2.400000000E-01, 1.037803060E-01, 2.004122287E-01
       128, 2.400000000E-01, 1.051643037E-01, 1.962454021E-01
       129, 2.400000000E-01, 1.065629045E-01, 1.921395957E-01
       130, 2.400000000E-01, 1.079762623E-01, 1.880951822E-01
       131, 2.400000000E-01, 1.094045331E-01, 1.841123551E-01
       132, 2.400000000E-01, 1.108478740E-01, 1.801902503E-01
       133, 2.400000000E-01, 1.123064441E-01, 1.763304621E-01
       134, 2.400000000E-01, 1.137804041E-01, 1.725387275E-01
       135, 2.400000000E-01, 1.152699163E-01, 1.688095331E-01
       136, 2.400000000E-01, 1.167751450E-01, 1.651107520E-01
       137, 2.400000000E-01, 1.182962559E-01, 1.614144892E-01
       138, 2.400000000E-01, 1.198334165E-01, 1.577418596E-01
       139, 2.400000000E-01, 1.213867963E-01, 1.541367620E-01
       140, 2.400000000E-01, 1.229565663E-01, 1.506142616E-01
       141, 2.400000000E-01, 1.245428995E-01, 1.471633166E-01
       142, 2.400000000E-01, 1.261459707E-01, 1.437743604E-01
       143, 2.400000000E-01, 1.277659565E-01, 1.404458582E-01
       144, 2.400000000E-01, 1.294030353E-01, 1.371704936E-01
       145, 2.400000000E-01, 1.310573875E-01, 1.339237541E-01
       146, 2.400000000E-01, 1.327291954E-01, 1.306996793E-01
       147, 2.400000000E-01, 1.344186431E-01, 1.275466084E-01
       148, 2.400000000E-01, 1.361259168E-01, 1.245178357E-01
       149, 2.400000000E-01, 1.378512045E-01, 1.215521693E-01
       150, 2.400000000E-01, 1.404991721E-01, 1.170315519E-01
       151, 2.400000000E-01, 1.431471398E-01, 1.126560345E-01
       152, 2.400000000E-01, 1.457951074E-01, 1.085590199E-01
       153, 2.400000000E-01, 1.484430750E-01, 1.047264040E-01
       154, 2.400000000E-01, 1.510910427E-01, 1.010876372E-01
       155, 2.400000000E-01, 1.537390103E-01, 9.760046750E-02
       156, 2.400000000E-01, 1.563869779E-01, 9.424172342E-02
       157, 2.400000000E-01, 1.590349456E-01, 9.098113328E-02
       158, 2.400000000E-01, 1.616829132E-01, 8.779329807E-02
       159, 2.400000000E-01, 1.643308808E-01, 8.468384296E-02
       160, 2.400000000E-01, 1.669788484E-01, 8.168936521E-02
       161, 2.400000000E-01, 1.696268161E-01, 7.884723693E-02
       162, 2.400000000E-01, 1.722747837E-01, 7.616920769E-02
       163, 2.400000000E-01, 1.749227513E-01, 7.364531606E-02
       164, 2.400000000E-01, 1.775707190E-01, 7.126054913E-02
       165, 2.400000000E-01, 1.802186866E-01, 6.900287420E-02
       166, 2.400000000E-01, 1.828666542E-01, 6.686389446E-02
       167, 2.400000000E-01, 1.855146219E-01, 6.483735889E-02
       168, 2.400000000E-01, 1.881625895E-01, 6.291764230E-02
       169, 2.400000000E-01, 1.908105571E-01, 6.109874323E-02
       170, 2.400000000E-01, 1.934585248E-01, 5.937389284E-02
       171, 2.400000000E-01, 1.961064924E-01, 5.773591623E-02
       172, 2.400000000E-01, 1.987544600E-01, 5.617769435E-02
       173, 2.400000000E-01, 2.014024277E-01, 5.469251052E-02
       174, 2.400000000E-01, 2.040503953E-01, 5.327412859E-02
       175, 2.400000000E-01, 2.066983629E-01, 5.191675946E-02
       176, 2.400000000E-01, 2.093463305E-01, 5.061531812E-02
       177, 2.400000000E-01, 2.119942982E-01, 4.936561361E-02
       178, 2.400000000E-01, 2.146422658E-01, 4.816401750E-02
       179, 2.400000000E-01, 2.172902334E-01, 4.700678214E-02
       180, 2.400000000E-01, 2.199382011E-01, 4.589044303E-02
       181, 2.400000000E-01, 2.225861687E-01, 4.481248930E-02
       182, 2.400000000E-01, 2.252341363E-01, 4.377106205E-02
       183, 2.400000000E-01, 2.278821040E-01, 4.276440293E-02
       184, 2.400000000E-01, 2.305300716E-01, 4.179091379E-02
       185, 2.400000000E-01, 2.331780392E-01, 4.084959626E-02
       186, 2.400000000E-01, 2.358260069E-01, 3.993960470E-02
       187, 2.400000000E-01, 2.384739745E-01, 3.906001896E-02
       188, 2.400000000E-01, 2.411219421E-01, 3.820953146E-02
       189, 2.400000000E-01, 2.437699098E-01, 3.738427907E-02
       190, 2.400000000E-01, 2.464178774E-01, 3.657805547E-02
       191, 2.400000000E-01, 2.490658450E-01, 3.578679264E-02
       192, 2.400000000E-01, 2.517138126E-01, 3.501185402E-02
       193, 2.400000000E-01, 2.543617803E-01, 3.425748274E-02
       194, 2.400000000E-01, 2.570097479E-01, 3.352541849E-02
       195, 2.400000000E-01, 2.596577155E-01, 3.281304985E-02
       196, 2.400000000E-01, 2.623056832E-01, 3.211672232E-02
       197, 2.400000000E-01, 2.649536508E-01, 3.143376857E-02
       198, 2.400000000E-01, 2.676016184E-01, 3.076103143E-02
       199, 2.400000000E-01, 2.702495861E-01, 3.009786457E-02
       200, 2.400000000E-01, 2.728975537E-01, 2.944843099E-02
       201, 2.400000000E-01, 2.755455213E-01, 2.881709486E-02
       202, 2.400000000E-01, 2.781934890E-01, 2.820459381E-02
       203, 2.400000000E-01, 2.808414566E-01, 2.760929242E-02
       204, 2.400000000E-01, 2.834894242E-01, 2.702990361E-02
