nodenumber,    x-coordinate,    y-coordinate,      wall-shear
       128, 2.400000000E-01, 1.051643037E-01, 2.688302696E-01
       129, 2.400000000E-01, 1.065629045E-01, 2.629980147E-01
       130, 2.400000000E-01, 1.079762623E-01, 2.572339177E-01
       131, 2.400000000E-01, 1.094045331E-01, 2.515368760E-01
       132, 2.400000000E-01, 1.108478740E-01, 2.459076345E-01
       133, 2.400000000E-01, 1.123064441E-01, 2.403483689E-01
       134, 2.400000000E-01, 1.137804041E-01, 2.348624915E-01
       135, 2.400000000E-01, 1.152699163E-01, 2.294539511E-01
       136, 2.400000000E-01, 1.167751450E-01, 2.241284549E-01
       137, 2.400000000E-01, 1.182962559E-01, 2.188860178E-01
       138, 2.400000000E-01, 1.198334165E-01, 2.137037814E-01
       139, 2.400000000E-01, 1.213867963E-01, 2.085832655E-01
       140, 2.400000000E-01, 1.229565663E-01, 2.035696059E-01
       141, 2.400000000E-01, 1.245428995E-01, 1.986841857E-01
       142, 2.400000000E-01, 1.261459707E-01, 1.939202249E-01
       143, 2.400000000E-01, 1.277659565E-01, 1.892713606E-01
       144, 2.400000000E-01, 1.294030353E-01, 1.847406924E-01
       145, 2.400000000E-01, 1.310573875E-01, 1.803050637E-01
       146, 2.400000000E-01, 1.327291954E-01, 1.759695262E-01
       147, 2.400000000E-01, 1.344186431E-01, 1.716775596E-01
       148, 2.400000000E-01, 1.361259168E-01, 1.676629782E-01
       149, 2.400000000E-01, 1.378512045E-01, 1.637438089E-01
       150, 2.400000000E-01, 1.404991721E-01, 1.575226337E-01
       151, 2.400000000E-01, 1.431471398E-01, 1.516966373E-01
       152, 2.400000000E-01, 1.457951074E-01, 1.463649869E-01
       153, 2.400000000E-01, 1.484430750E-01, 1.413269788E-01
       154, 2.400000000E-01, 1.510910427E-01, 1.364888251E-01
       155, 2.400000000E-01, 1.537390103E-01, 1.318037361E-01
       156, 2.400000000E-01, 1.563869779E-01, 1.273857504E-01
       157, 2.400000000E-01, 1.590349456E-01, 1.232910082E-01
       158, 2.400000000E-01, 1.616829132E-01, 1.187810898E-01
       159, 2.400000000E-01, 1.643308808E-01, 1.146109328E-01
       160, 2.400000000E-01, 1.669788484E-01, 1.133964062E-01
       161, 2.400000000E-01, 1.696268161E-01, 1.097458899E-01
       162, 2.400000000E-01, 1.722747837E-01, 9.945254028E-02
       163, 2.400000000E-01, 1.749227513E-01, 9.819635004E-02
       164, 2.400000000E-01, 1.775707190E-01, 1.098671183E-01
       165, 2.400000000E-01, 1.802186866E-01, 9.999538213E-02
       166, 2.400000000E-01, 1.828666542E-01, 7.980021834E-02
       167, 2.400000000E-01, 1.855146219E-01, 8.489418030E-02
       168, 2.400000000E-01, 1.881625895E-01, 1.020506099E-01
       169, 2.400000000E-01, 1.908105571E-01, 1.154143587E-01
       170, 2.400000000E-01, 1.934585248E-01, 8.369427174E-02
       171, 2.400000000E-01, 1.961064924E-01, 5.065249652E-02
       172, 2.400000000E-01, 1.987544600E-01, 1.082001254E-01
       173, 2.400000000E-01, 2.014024277E-01, 1.194358990E-01
       174, 2.400000000E-01, 2.040503953E-01, 5.415691435E-02
       175, 2.400000000E-01, 2.066983629E-01, 7.475619018E-02
       176, 2.400000000E-01, 2.093463305E-01, 8.153279871E-02
       177, 2.400000000E-01, 2.119942982E-01, 2.239877135E-01
       178, 2.400000000E-01, 2.146422658E-01, 2.115809768E-01
       179, 2.400000000E-01, 2.172902334E-01, 1.620870084E-02
       180, 2.400000000E-01, 2.199382011E-01, 1.590510830E-02
       181, 2.400000000E-01, 2.225861687E-01, 2.283973061E-02
       182, 2.400000000E-01, 2.252341363E-01, 4.308733344E-02
       183, 2.400000000E-01, 2.278821040E-01, 3.739319742E-02
       184, 2.400000000E-01, 2.305300716E-01, 1.430480834E-02
       185, 2.400000000E-01, 2.331780392E-01, 1.677435264E-02
       186, 2.400000000E-01, 2.358260069E-01, 1.189112738E-01
       187, 2.400000000E-01, 2.384739745E-01, 1.158821285E-01
       188, 2.400000000E-01, 2.411219421E-01, 1.659291424E-02
       189, 2.400000000E-01, 2.437699098E-01, 3.749395907E-02
       190, 2.400000000E-01, 2.464178774E-01, 1.678197682E-01
       191, 2.400000000E-01, 2.490658450E-01, 3.712554574E-01
       192, 2.400000000E-01, 2.517138126E-01, 2.596966028E-01
       193, 2.400000000E-01, 2.543617803E-01, 4.428691417E-02
       194, 2.400000000E-01, 2.570097479E-01, 6.824978441E-02
       195, 2.400000000E-01, 2.596577155E-01, 2.303818166E-01
       196, 2.400000000E-01, 2.623056832E-01, 1.945162416E-01
       197, 2.400000000E-01, 2.649536508E-01, 2.587275021E-02
       198, 2.400000000E-01, 2.676016184E-01, 1.703541726E-02
       199, 2.400000000E-01, 2.702495861E-01, 1.441373397E-02
       200, 2.400000000E-01, 2.728975537E-01, 1.103708148E-02
       201, 2.400000000E-01, 2.755455213E-01, 1.649291255E-02
       202, 2.400000000E-01, 2.781934890E-01, 6.248636171E-02
       203, 2.400000000E-01, 2.808414566E-01, 1.469389796E-01
       204, 2.400000000E-01, 2.834894242E-01, 1.052463353E-01
       205, 2.400000000E-01, 2.861373919E-01, 1.678998023E-02
       206, 2.400000000E-01, 2.887853595E-01, 1.503157336E-02
       207, 2.400000000E-01, 2.914333271E-01, 1.338165719E-02
       208, 2.400000000E-01, 2.940812947E-01, 1.188718434E-02
       209, 2.400000000E-01, 2.967292624E-01, 1.014319342E-02
       210, 2.400000000E-01, 2.993772300E-01, 8.435326628E-03
       211, 2.400000000E-01, 3.020251976E-01, 1.141334604E-02
       212, 2.400000000E-01, 3.046731653E-01, 2.304410562E-02
       213, 2.400000000E-01, 3.073211329E-01, 4.706354067E-02
       214, 2.400000000E-01, 3.099691005E-01, 1.085975990E-01
       215, 2.400000000E-01, 3.126170682E-01, 8.341380954E-02
       216, 2.400000000E-01, 3.152650358E-01, 1.126326714E-02
       217, 2.400000000E-01, 3.179130034E-01, 8.229594678E-03
