nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient
        53, 2.400000000E-01, 3.293879404E-02, 2.640254796E-01
        54, 2.400000000E-01, 3.357531773E-02, 2.528131604E-01
        55, 2.400000000E-01, 3.421855762E-02, 2.418365628E-01
        56, 2.400000000E-01, 3.486858455E-02, 2.311008424E-01
        57, 2.400000000E-01, 3.552547016E-02, 2.206116468E-01
        58, 2.400000000E-01, 3.618928679E-02, 2.103770226E-01
        59, 2.400000000E-01, 3.686010760E-02, 2.004055083E-01
        60, 2.400000000E-01, 3.753800647E-02, 1.907029301E-01
        61, 2.400000000E-01, 3.822305809E-02, 1.812757850E-01
        62, 2.400000000E-01, 3.891533794E-02, 1.721224487E-01
        63, 2.400000000E-01, 3.961492227E-02, 1.632327437E-01
        64, 2.400000000E-01, 4.032188818E-02, 1.546058059E-01
        65, 2.400000000E-01, 4.103631352E-02, 1.462457925E-01
        66, 2.400000000E-01, 4.175827703E-02, 1.381554753E-01
        67, 2.400000000E-01, 4.248785823E-02, 1.303380132E-01
        68, 2.400000000E-01, 4.322513750E-02, 1.227961928E-01
        69, 2.400000000E-01, 4.397019606E-02, 1.155314147E-01
        70, 2.400000000E-01, 4.472311601E-02, 1.085437909E-01
        71, 2.400000000E-01, 4.548398028E-02, 1.018326655E-01
        72, 2.400000000E-01, 4.625287269E-02, 9.539727122E-02
        73, 2.400000000E-01, 4.702987797E-02, 8.923745155E-02
        74, 2.400000000E-01, 4.781508171E-02, 8.335360140E-02
        75, 2.400000000E-01, 4.860857041E-02, 7.774464041E-02
        76, 2.400000000E-01, 4.941043149E-02, 7.241529971E-02
        77, 2.400000000E-01, 5.022075329E-02, 6.735952199E-02
        78, 2.400000000E-01, 5.103962508E-02, 6.255362928E-02
        79, 2.400000000E-01, 5.186713709E-02, 5.798641220E-02
        80, 2.400000000E-01, 5.270338046E-02, 5.366103351E-02
        81, 2.400000000E-01, 5.354844734E-02, 4.958157614E-02
        82, 2.400000000E-01, 5.440243082E-02, 4.574640468E-02
        83, 2.400000000E-01, 5.526542498E-02, 4.214965180E-02
        84, 2.400000000E-01, 5.613752491E-02, 3.878358752E-02
        85, 2.400000000E-01, 5.701882666E-02, 3.563961759E-02
        86, 2.400000000E-01, 5.790942735E-02, 3.270981833E-02
        87, 2.400000000E-01, 5.880942508E-02, 2.998751961E-02
        88, 2.400000000E-01, 5.971891901E-02, 2.746745571E-02
        89, 2.400000000E-01, 6.063800933E-02, 2.514023148E-02
        90, 2.400000000E-01, 6.156679730E-02, 2.299096808E-02
        91, 2.400000000E-01, 6.250538524E-02, 2.100866474E-02
        92, 2.400000000E-01, 6.345387655E-02, 1.918645017E-02
        93, 2.400000000E-01, 6.441237574E-02, 1.751716994E-02
        94, 2.400000000E-01, 6.538098839E-02, 1.599330828E-02
        95, 2.400000000E-01, 6.635982122E-02, 1.460647583E-02
        96, 2.400000000E-01, 6.734898206E-02, 1.334782131E-02
        97, 2.400000000E-01, 6.834857989E-02, 1.220870204E-02
        98, 2.400000000E-01, 6.935872483E-02, 1.118067093E-02
        99, 2.400000000E-01, 7.037952817E-02, 1.025504339E-02
       100, 2.400000000E-01, 7.141110237E-02, 9.423120879E-03
       101, 2.400000000E-01, 7.245356108E-02, 8.676684462E-03
       102, 2.400000000E-01, 7.350701914E-02, 8.007972501E-03
       103, 2.400000000E-01, 7.457159261E-02, 7.409210782E-03
       104, 2.400000000E-01, 7.564739877E-02, 6.872836966E-03
       105, 2.400000000E-01, 7.673455614E-02, 6.391969044E-03
       106, 2.400000000E-01, 7.783318450E-02, 5.960399285E-03
       107, 2.400000000E-01, 7.894340488E-02, 5.572117865E-03
       108, 2.400000000E-01, 8.006533959E-02, 5.221350584E-03
       109, 2.400000000E-01, 8.119911223E-02, 4.902875051E-03
